[2024-06-20 19:21:17.188] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 19:21:17.191] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 19:21:17.192] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 19:21:17.397] [info]  [19:21:17] [
[2024-06-20 19:21:17.398] [info]  Genesis/main/INFO] Found external file: Fabric-API-v1_21_0-0.100.1.jar
[2024-06-20 19:21:17.401] [info]  [19:21:17] [Genesis/main/INFO] 
[2024-06-20 19:21:17.406] [info]  Found external file: Sodium-v1_21_0-0.5.9.jar
[2024-06-20 19:21:17.407] [info]  [19:21:17] [Genesis/main/INFO] Found external file: Iris-v1_21_0-1.7.1.jar
[2024-06-20 19:21:17.407] [info]  [19:21:17] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-20 19:21:17.407] [info]  [19:21:17] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-20 19:21:17.407] [info]  [19:21:17] [Genesis/main/INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-20 19:21:17.457] [info]  [19:21:17] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 066b048ed2b02a814af31aa987e7b5d0e0f61bcc
[2024-06-20 19:21:17.459] [info]  [19:21:17] [Genesis/main
[2024-06-20 19:21:17.459] [info]  /INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 28a38ca2951a5a3d14864038fd7c0b14d854cc00
[2024-06-20 19:21:17.471] [info]  [19:21:17] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 5acb844b73c492e6a58653cfa9a89eea9fc74e0f
[2024-06-20 19:21:17.473] [info]  [19:21:17] [Genesis/main
[2024-06-20 19:21:17.473] [info]  /INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash b62ace71a2e3fbe72c5c5d98781a4a1099a178f4
[2024-06-20 19:21:17.473] [info]  [19:21:17] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-06-20 19:21:17.509] [info]  [19:21:17] [Genesis/main/
