[2024-06-21 17:46:46.664] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:46:46.668] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:46:46.668] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-21 17:46:46.868] [info]  [17:46:46] [Genesis/main/
[2024-06-21 17:46:46.869] [info]  INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-21 17:46:46.872] [info]  [17:46:46] [Genesis/main/INFO
[2024-06-21 17:46:46.873] [info]  ] Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-21 17:46:46.873] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-21 17:46:46.874] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-21 17:46:46.874] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-21 17:46:46.874] [info]  [17:46:46] [Genesis/
[2024-06-21 17:46:46.874] [info]  main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-21 17:46:46.875] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-21 17:46:46.875] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-21 17:46:46.875] [info]  
[2024-06-21 17:46:46.875] [info]  [17:46:46] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-21 17:46:46.876] [info]  [17:46:46] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-21 17:46:46.876] [info]  [17:46:46] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-21 17:46:46.876] [info]  [17:46:46] [Genesis/main/INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-21 17:46:46.924] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
[2024-06-21 17:46:46.925] [info]  [17:46:46] [Genesis/main/INFO] 
[2024-06-21 17:46:46.925] [info]  Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 500ac97175fa953c59c311a3387b0d6c72cf5dba
[2024-06-21 17:46:46.936] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: genesis-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 444937f4ede76553b24bff14153b5d9e35687eb2
[2024-06-21 17:46:46.938] [info]  [17:46:46] [
[2024-06-21 17:46:46.938] [info]  Genesis/main/INFO] Found classpath URL: lunar-lang.jar with SHA-1 hash 32a7e666acdc5ff9de8ce454b9390b6bd2bc9177
[2024-06-21 17:46:46.939] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: lunar-emote.jar with SHA-1 hash b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
[2024-06-21 17:46:46.972] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: lunar.jar with SHA-1 hash 7ae8b4c716d4afeeca6354f3a4b2bb4f5302869a
[2024-06-21 17:46:46.984] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: modern-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 1b16b6bc92071b52ebc358659a8f371324df0a45
[2024-06-21 17:46:46.985] [info]  [17:46:46
[2024-06-21 17:46:46.985] [info]  ] [Genesis/main/INFO] Found classpath URL: lunar-ferrite-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 557af8afbc5a3a2dd1082d6c1d89d0924d9148a7
[2024-06-21 17:46:46.985] [info]  [17:46:46] [Genesis/main/INFO] Found classpath URL: lunar-lithium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 6bddb75b7b546461fe3906061ed6b69c96459fc2
[2024-06-21 17:46:46.986] [info]  [17:46:46] [
[2024-06-21 17:46:46.986] [info]  Genesis/main/INFO] Found classpath URL: lunar-noxesium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 9ef6225eb7368f6fa9728dd8d086f284b70e6e95
[2024-06-21 17:46:46.987] [info]  [17:46:46
[2024-06-21 17:46:46.987] [info]  ] [Genesis/main/INFO] Found classpath URL: lunar-replaymod-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d597c36d0c2ff4f04ca99579bbfe849ed80f8dbd
[2024-06-21 17:46:46.989] [info]  [17:46:46
[2024-06-21 17:46:46.990] [info]  ] [Genesis/main/INFO] Found classpath URL: lunar-sodium-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash e5611315574ee949cf2389d5c899eca8eef9c8a3
[2024-06-21 17:46:47.670] [info]  [17:46:47] [Genesis/main/INFO] Adding pre-launch library to game classpath: .\.ichor\ichormodule-libs\net_fabricmc_fabric_loader_0_15_11-lunar-0.1.0.jar
[2024-06-21 17:46:47.745] [info]  [17:46:47] [Genesis/GameBootstrap/main/INFO] Launching Minecraft 1.20.1 v1_20_1 (parsed from 1.20.1)
[2024-06-21 17:46:48.565] [info]  [17:46:48] [Ichor+Fabric/main/INFO] Using custom local mod path: C:\Users\Asus\.lunarclient\profiles\35533a66-fbe4-4c9e-b96c-b47d7554e254\versions\0.0.4\mods
[2024-06-21 17:46:49.435] [info]  LUNARCLIENT_STATUS_PREINIT
[2024-06-21 17:46:49.436] [info]  [17:46:49] [Genesis/GameBootstrap/main/INFO] Starting game!
[2024-06-21 17:46:49.823] [info]  [17:46:49] [IchorPipeline/main/INFO
