[2024-06-20 22:04:42.922] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:04:42.926] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:04:42.926] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:04:43.141] [info]  [22:04:43] [Genesis/main/INFO
[2024-06-20 22:04:43.142] [info]  ] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-20 22:04:43.145] [info]  [22:04:43] [Genesis/main/INFO] 
[2024-06-20 22:04:43.145] [info]  Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-20 22:04:43.146] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-20 22:04:43.146] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-20 22:04:43.146] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-20 22:04:43.147] [info]  [22:04:43] [Genesis/main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-20 22:04:43.147] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-20 22:04:43.147] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-20 22:04:43.148] [info]  [22:04:43] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-20 22:04:43.148] [info]  [22:04:43] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-20 22:04:43.148] [info]  [22:04:43] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-20 22:04:43.148] [info]  [22:04:43] [Genesis/main/INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-20 22:04:43.198] [info]  [22:04:43] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
[2024-06-20 22:04:43.199] [info]  [22:04:43] [Genesis/
[2024-06-20 22:04:43.200] [info]  main/INFO] Found classpath URL: lunar-fabric-mixins-0.1.0-SNAPSHOT-all.jar with SHA-1 hash 500ac97175fa953c59c311a3387b0d6c72cf5dba
