[2024-06-20 22:15:59.488] [error] NOTE: Picked up JDK_JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:15:59.490] [error] Picked up JAVA_TOOL_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:15:59.491] [error] Picked up _JAVA_OPTIONS: -XX:+DisableAttachMechanism
[2024-06-20 22:15:59.702] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Fabric-API-v1_20_1-0.90.7.jar
[2024-06-20 22:15:59.706] [info]  [22:15:59] [Genesis/main/
[2024-06-20 22:15:59.706] [info]  INFO] Found external file: FerriteCore-v1_20_1-6.0.0.jar
[2024-06-20 22:15:59.707] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Lithium-v1_20_1-0.11.2.jar
[2024-06-20 22:15:59.707] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Noxesium-v1_20_1-1.0.3.jar
[2024-06-20 22:15:59.707] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Noxesium_API-v1_20_1-1.0.3.jar
[2024-06-20 22:15:59.708] [info]  [22:15:59] [Genesis/main/INFO] Found external file: ReplayMod-v1_20_1-2.6.14.jar
[2024-06-20 22:15:59.708] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Sodium-v1_20_1-0.5.8.jar
[2024-06-20 22:15:59.708] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Indium-v1_20_1-1.0.30.jar
[2024-06-20 22:15:59.709] [info]  [22:15:59] [Genesis/main/INFO] Found external file: Iris-v1_20_1-1.6.17.jar
[2024-06-20 22:15:59.709] [info]  [22:15:59] [Genesis/main/INFO] Found external file: hypixel-quickplay-data.json
[2024-06-20 22:15:59.709] [info]  [22:15:59] [Genesis/main/INFO] Found external file: hypixel-bedwars-data.json
[2024-06-20 22:15:59.709] [info]  [22:15:59] [Genesis/main
[2024-06-20 22:15:59.710] [info]  /INFO] Found external file: hypixel-skyblock-dungeon-rooms.json
[2024-06-20 22:15:59.760] [info]  [22:15:59] [Genesis/main/INFO] Found classpath URL: common-0.1.0-SNAPSHOT-all.jar with SHA-1 hash d55f1b0ac13c8a0e4adc1d3072d23059c44d26b8
